assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,query_label,query_standard_type,units_hint,dataset
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccccc1,CHEMBL382518,Vdss,L.kg-1,0.8,Vdss,l kg-1,0.8,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(F)cc1,CHEMBL197793,Vdss,L.kg-1,0.8,Vdss,l kg-1,0.8,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(F)cc1,CHEMBL197793,Vdss,L.kg-1,0.8,Vdss,l kg-1,0.8,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Cc1ccc([C@H](C(=O)NC(C)C)N2C(=O)[C@@H](C3Cc4ccccc4C3)NC(=O)[C@H]2CC(C)C)cc1,CHEMBL555148,Vdss,L.kg-1,0.6,Vdss,l kg-1,0.6,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(N(C)C)cc1,CHEMBL196603,Vdss,L.kg-1,1.7,Vdss,l kg-1,1.7,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(N(C)C)cc1,CHEMBL196603,Vdss,L.kg-1,2.3,Vdss,l kg-1,2.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(S(C)(=O)=O)cc1,CHEMBL194584,Vdss,L.kg-1,0.7,Vdss,l kg-1,0.7,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)(C)C)c1ccc(Cl)cc1,CHEMBL381024,Vdss,L.kg-1,0.4,Vdss,l kg-1,0.4,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(F)cc1F,CHEMBL196478,Vdss,L.kg-1,1.2,Vdss,l kg-1,1.2,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)C1CCC2(CC1)CN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,CHEMBL197851,Vdss,L.kg-1,2.6,Vdss,l kg-1,2.6,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)C1CCC2(CC1)CCN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,CHEMBL198387,Vdss,L.kg-1,1.3,Vdss,l kg-1,1.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)C1CCC2(CC1)CCN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,CHEMBL198387,Vdss,L.kg-1,0.48,Vdss,l kg-1,0.48,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)C1CCC2(CC1)CCN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,CHEMBL198387,Vdss,L.kg-1,4.3,VDss,l kg-1,4.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)C1CCC2(CC1)CCN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)NCc2nn[nH]n2)cc1,CHEMBL371235,Vdss,L.kg-1,7.3,Vdss,l kg-1,7.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)C1CCC2(CC1)CN(c1cc(Cl)cc(Cl)c1)C(=O)N2Cc1ccc(C(=O)NCCC(=O)O)cc1,CHEMBL199013,Vdss,L.kg-1,3.6,Vdss,l kg-1,3.6,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1C(=O)NC(Cc2c[nH]c3c(Cl)cccc23)C1=O,CHEMBL381230,Vdss,L.kg-1,2.495,Vss,ml kg-1,2495.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1C(=O)NC(Cc2c[nH]c3c(Cl)cccc23)C1=O,CHEMBL381230,Vdss,L.kg-1,3.345,Vss,ml kg-1,3345.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCCc1c(OCCCOc2ccc3c(ccn3CC(=O)[O-])c2)ccc2c(C(F)(F)F)noc12.[Na+],CHEMBL120554,Vdss,L.kg-1,0.4,Vss,L/kg,0.4,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCC(=O)N[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O,CHEMBL262707,Vdss,mL,55.1,Vdss,mL,55.1,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O,CHEMBL198643,Vdss,mL,22.9,Vdss,mL,22.9,volume_distribution,VDss,(L/kg|L),ChEMBL
A,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@@H](O[C@@H]3[C@H](O)[C@@H](O[C@@H]4[C@H](O)[C@@H](O[C@@H]5[C@@H](OCc6ccccc6)O[C@H](CO)[C@@H](O)[C@@H]5O)O[C@H](CO)[C@H]4O)O[C@H](CO)[C@H]3O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,CHEMBL382044,Vdss,mL,38.4,Vdss,mL,38.4,volume_distribution,VDss,(L/kg|L),ChEMBL
A,N#CCNC(=O)C1(NC(=O)c2ccc(-c3ccc(N4CCNCC4)cc3)cc2)CCCCC1,CHEMBL371133,Vdss,L.kg-1,7.23,Vss,L/kg,7.23,volume_distribution,VDss,(L/kg|L),ChEMBL
