compound,dose,cl_hepatic,cl_renal,cl_total,kp_mean,kp_min,kp_max,c0_expected,c0_pred,c0_ratio,pred_cmax,obs_cmax,cmax_ratio,pred_auc,obs_auc,auc_ratio
Amlodipine,5.0,20.790000915527344,6.929999828338623,27.720001220703125,9.428571701049805,1.0,20.0,1.0,1.0,1.0,1.0841889381408691,,,2.156278610229492,,
Gentamicin,240.0,3.783780097961426,1.2612600326538086,5.045040130615234,0.4270000159740448,0.11400000005960464,1.0,48.0,48.0,1.0,48.0,,,5.005611419677734,,
Paclitaxel,175.0,8.739500045776367,2.9131667613983154,11.652667045593262,5.311428070068359,1.0,11.199999809265137,35.0,35.0,1.0,35.0,,,4.150486946105957,,
Doxorubicin,60.0,35.51625061035156,11.838749885559082,47.35499954223633,9.428571701049805,1.0,20.0,12.0,12.0,1.0,12.0,,,2.762871742248535,,
Imatinib,400.0,12.560625076293945,4.186874866485596,16.747499465942383,9.428571701049805,1.0,20.0,80.0,80.0,1.0,80.0,,,6.6651787757873535,,
Tacrolimus,5.0,28.47519302368164,9.491730690002441,37.966922760009766,9.428571701049805,1.0,20.0,1.0,1.0,1.0,1.1007906198501587,,,2.183460235595703,,
Cyclosporine,300.0,24.935625076293945,8.311875343322754,33.247501373291016,9.428571701049805,1.0,20.0,60.0,60.0,1.0,60.0,,,5.359007835388184,,
Cn1c(=O)c2c(ncn2C)n(C)c1=O,100.0,0.0668250024318695,0.02227500081062317,0.08910000324249268,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2574143409729004,,
CC(=O)Nc1ccc(O)cc1,100.0,0.2079000025987625,0.06930000334978104,0.27720001339912415,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.258706569671631,,
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,100.0,0.02194499969482422,0.007315000053495169,0.029260000213980675,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2570204734802246,,
Cc1cc(=O)n(-c2ccccc2)n1C,100.0,0.0333506241440773,0.01111687533557415,0.0444675013422966,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2571210861206055,,
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,100.0,0.03966513276100159,0.013221710920333862,0.05288684368133545,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.257176399230957,,
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,100.0,0.05659500136971474,0.01886500045657158,0.07546000182628632,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.257324695587158,,
Cc1ncc([N+](=O)[O-])n1CCO,100.0,0.02928169071674347,0.009760563261806965,0.03904225304722786,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2570853233337402,,
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,100.0,0.015655120834708214,0.005218373611569405,0.02087349444627762,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2569642066955566,,
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,100.0,0.012374999932944775,0.004124999977648258,0.016499999910593033,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2569351196289062,,
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,100.0,0.03465000167489052,0.011549999937415123,0.04619999974966049,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2571325302124023,,
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,100.0,0.037023287266492844,0.012341096065938473,0.04936438426375389,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.257153034210205,,
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,100.0,0.7796249985694885,0.25987499952316284,1.0394999980926514,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.263969898223877,,
CCCc1cc(=O)[nH]c(=S)[nH]1,100.0,0.13593462109565735,0.04531153663992882,0.18124616146087646,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2580301761627197,,
