compound_id,dose,cl_hepatic,cl_renal,pred_cmax,obs_cmax,residual_cmax,residual_cmax_pct,residual_cmax_log,pred_auc,obs_auc,residual_auc,residual_auc_pct,residual_auc_log
Cn1cc[nH]c1=S,100.0,0.18624374270439148,0.06208125129342079,,,,,,,,,,
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,100.0,0.16509705781936646,0.05503235384821892,,,,,,,,,,
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,100.0,0.38664329051971436,0.12888109683990479,,,,,,,,,,
Carvedilol,25.0,85.38749694824219,28.462499618530273,,,,,,,,,,
Lisinopril,10.0,3.2484374046325684,1.0828125476837158,,,,,,,,,,
Losartan,50.0,8.835749626159668,2.9452500343322754,,,,,,,,,,
Celecoxib,200.0,18.899999618530273,6.300000190734863,,,,,,,,,,
Naproxen,500.0,0.3465000092983246,0.11550000309944153,,,,,,,,,,
Indomethacin,25.0,1.3860000371932983,0.4620000123977661,,,,,,,,,,
Ketorolac,10.0,1.351349949836731,0.45045000314712524,,,,,,,,,,
Codeine,30.0,39.84749984741211,13.282500267028809,,,,,,,,,,
Fentanyl,0.10000000149011612,51.974998474121094,17.325000762939453,,,,,,,,,,
Ciprofloxacin,500.0,22.739063262939453,7.579687595367432,,,,,,,,,,
Levofloxacin,500.0,6.410250186920166,2.1367499828338623,,,,,,,,,,
Moxifloxacin,400.0,6.06374979019165,2.021250009536743,,,,,,,,,,
Doxycycline,100.0,1.443750023841858,0.48124998807907104,,,,,,,,,,
Clarithromycin,500.0,25.363800048828125,8.45460033416748,,,,,,,,,,
Metronidazole,500.0,3.3783750534057617,1.1261249780654907,,,,,,,,,,
Cephalexin,500.0,9.355500221252441,3.118499994277954,,,,,,,,,,
Cefuroxime,250.0,7.19653844833374,2.39884614944458,,,,,,,,,,
Acebutolol,400.0,25.987499237060547,8.662500381469727,,,,,,,,,,
Amiodarone,200.0,1.443750023841858,0.48124998807907104,,,,,,,,,,
Bisoprolol,10.0,10.867500305175781,3.622499942779541,,,,,,,,,,
Captopril,25.0,14.812874794006348,4.937624931335449,,,,,,,,,,
Candesartan,8.0,0.5197499990463257,0.1732500046491623,,,,,,,,,,
Clonidine,0.20000000298023224,6.496874809265137,2.1656250953674316,,,,,,,,,,
Doxazosin,4.0,1.653749942779541,0.5512499809265137,,,,,,,,,,
Felodipine,5.0,33.07500076293945,11.024999618530273,,,,,,,,,,
Irbesartan,150.0,1.9676250219345093,0.655875027179718,,,,,,,,,,
Ampicillin,500.0,10.395000457763672,3.4649999141693115,,,,,,,,,,
Cefaclor,250.0,13.859999656677246,4.619999885559082,,,,,,,,,,
Cefixime,400.0,2.2274999618530273,0.7425000071525574,,,,,,,,,,
Clindamycin,300.0,12.473999977111816,4.1579999923706055,,,,,,,,,,
Erythromycin,500.0,19.0575008392334,6.352499961853027,,,,,,,,,,
Imipenem,500.0,7.796249866485596,2.598750114440918,,,,,,,,,,
Norfloxacin,400.0,25.987499237060547,8.662500381469727,,,,,,,,,,
Clomipramine,75.0,19.490625381469727,6.496874809265137,,,,,,,,,,
Doxepin,75.0,39.74558639526367,13.248529434204102,,,,,,,,,,
Fluvoxamine,100.0,48.5099983215332,16.170000076293945,,,,,,,,,,
