canonical_smiles,fu,vd,clearance,source,split_original,chembl_id,priority
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,3.6,20.0,ChEMBL,,CHEMBL1652588,1
C#CCn1c(=O)n(CC#N)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,,,36.5,ChEMBL,,CHEMBL4287255,1
C#CCn1c(=O)n(Cc2cc(C)no2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,,,72.0,ChEMBL,,CHEMBL4294064,1
C#CCn1c(=O)n(Cc2cnc(C)s2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,,,100.0,ChEMBL,,CHEMBL4290350,1
C#CCn1c(=O)n(Cc2cnn(C)c2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,,,42.0,ChEMBL,,CHEMBL4289269,1
C#CCn1cc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)c2c(N)ncnc21,,,28.33,ChEMBL,,CHEMBL4459941,1
C#CCn1nnc2c(-c3nc(C)cs3)ncn2c1=O,,,43.55,ChEMBL,,CHEMBL5400079,1
C#CCn1nnc2c(-c3nccs3)ncn2c1=O,,,27.35,ChEMBL,,CHEMBL5418433,1
C#CCn1nnc2c(C(N)=O)ncn2c1=O,,,27.2,ChEMBL,,CHEMBL4210151,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccc(-c3ccccc3)cc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@@H]1O,,,64.0,ChEMBL,,CHEMBL5415259,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccc(-c3ccccc3C(=O)O)cc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@@H]1O,,,2.9,ChEMBL,,CHEMBL5398484,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccc(N3CCCNC3=O)cc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@@H]1O,0.42,,19.0,ChEMBL,,CHEMBL5423436,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N(C)C)cc(Cl)nc32)[C@@H]1O,,,5.9,ChEMBL,,CHEMBL5416552,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N(C)C)nc(Cl)nc32)[C@@H]1O,,,18.0,ChEMBL,,CHEMBL5404795,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@@H]1O,,,13.0,ChEMBL,,CHEMBL5393743,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N4CC(O)C4)nc(Cl)nc32)[C@@H]1O,,,17.0,ChEMBL,,CHEMBL5415675,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NC(C)C)cc(Cl)nc32)[C@@H]1O,,,0.91,ChEMBL,,CHEMBL5428426,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NC(C)C)nc(Cl)nc32)[C@@H]1O,,,1.4,ChEMBL,,CHEMBL5423764,1
